onset	duration	trial_type
18	5.5	sad
24	5.5	anger
30	5.5	sad
39	5.5	sad
54	5.5	anger
60	5.5	fear
72	5.5	anger
96	5.5	anger
102	5.5	happy
108	5.5	anger
126	5.5	happy
135	5.5	fear
150	5.5	happy
162	5.5	happy
168	5.5	sad
180	5.5	happy
186	5.5	anger
192	5.5	anger
210	5.5	sad
216	5.5	sad
228	5.5	sad
243	5.5	happy
252	5.5	anger
264	5.5	fear
270	5.5	fear
294	5.5	anger
303	5.5	anger
315	5.5	happy
336	5.5	sad
342	5.5	fear
357	5.5	fear
366	5.5	fear
372	5.5	fear
378	5.5	happy
399	5.5	sad
408	5.5	anger
423	5.5	fear
432	5.5	anger
465	5.5	happy
471	5.5	happy
